ID,Description,Period Start,Period End,Timesheet Due,Pay Day
2025-01,Pay Period 1 - Jan 1-15 2025,2025-01-01,2025-01-15,2025-01-15,2025-01-22
2025-02,Pay Period 2 - Jan 16-31 2025,2025-01-16,2025-01-31,2025-01-31,2025-02-07
2025-03,Pay Period 3 - Feb 1-14 2025,2025-02-01,2025-02-14,2025-02-14,2025-02-21
2025-04,Pay Period 4 - Feb 15-28 2025,2025-02-15,2025-02-28,2025-02-28,2025-03-07
2025-05,Pay Period 5 - Mar 1-15 2025,2025-03-01,2025-03-15,2025-03-15,2025-03-22
2025-06,Pay Period 6 - Mar 16-31 2025,2025-03-16,2025-03-31,2025-03-31,2025-04-07
2025-07,Pay Period 7 - Apr 1-15 2025,2025-04-01,2025-04-15,2025-04-15,2025-04-22
2025-08,Pay Period 8 - Apr 16-30 2025,2025-04-16,2025-04-30,2025-04-30,2025-05-07
2025-09,Pay Period 9 - May 1-15 2025,2025-05-01,2025-05-15,2025-05-15,2025-05-22
2025-10,Pay Period 10 - May 16-31 2025,2025-05-16,2025-05-31,2025-05-31,2025-06-07
2025-11,Pay Period 11 - Jun 1-15 2025,2025-06-01,2025-06-15,2025-06-15,2025-06-22
2025-12,Pay Period 12 - Jun 16-30 2025,2025-06-16,2025-06-30,2025-06-30,2025-07-07
2025-13,Pay Period 13 - Jul 1-15 2025,2025-07-01,2025-07-15,2025-07-15,2025-07-22
2025-14,Pay Period 14 - Jul 16-31 2025,2025-07-16,2025-07-31,2025-07-31,2025-08-07
2025-15,Pay Period 15 - Aug 2-15 2025,2025-08-02,2025-08-15,2025-08-15,2025-08-22
2025-16,Pay Period 16 - Aug 16-29 2025,2025-08-16,2025-08-29,2025-08-29,2025-09-05
2025-17,Pay Period 17 - Aug 30 - Sep 15 2025,2025-08-30,2025-09-15,2025-09-15,2025-09-22
2025-18,Pay Period 18 - Sep 16-30 2025,2025-09-16,2025-09-30,2025-09-30,2025-10-07
2025-19,Pay Period 19 - Oct 1-15 2025,2025-10-01,2025-10-15,2025-10-15,2025-10-22
2025-20,Pay Period 20 - Oct 16-31 2025,2025-10-16,2025-10-31,2025-10-31,2025-11-07
2025-21,Pay Period 21 - Nov 1-14 2025,2025-11-01,2025-11-14,2025-11-14,2025-11-21
2025-22,Pay Period 22 - Nov 15-28 2025,2025-11-15,2025-11-28,2025-11-28,2025-12-05
2025-23,Pay Period 23 - Nov 29 - Dec 15 2025,2025-11-29,2025-12-15,2025-12-15,2025-12-22
2025-24,Pay Period 24 - Dec 16-31 2025,2025-12-16,2025-12-31,2025-12-31,2026-01-07
