ID,Description,Period Start,Period End,Timesheet Due,Pay Day
2026-01,Pay Period 1 - Jan 1-15 2026,2026-01-01,2026-01-15,2026-01-15,2026-01-22
2026-02,Pay Period 2 - Jan 16-31 2026,2026-01-16,2026-01-31,2026-01-31,2026-02-07
2026-03,Pay Period 3 - Feb 1-14 2026,2026-02-01,2026-02-14,2026-02-14,2026-02-21
2026-04,Pay Period 4 - Feb 15-28 2026,2026-02-15,2026-02-28,2026-02-28,2026-03-07
2026-05,Pay Period 5 - Mar 1-15 2026,2026-03-01,2026-03-15,2026-03-15,2026-03-22
2026-06,Pay Period 6 - Mar 16-31 2026,2026-03-16,2026-03-31,2026-03-31,2026-04-07
2026-07,Pay Period 7 - Apr 1-15 2026,2026-04-01,2026-04-15,2026-04-15,2026-04-22
2026-08,Pay Period 8 - Apr 16-30 2026,2026-04-16,2026-04-30,2026-04-30,2026-05-07
2026-09,Pay Period 9 - May 1-15 2026,2026-05-01,2026-05-15,2026-05-15,2026-05-22
2026-10,Pay Period 10 - May 16-31 2026,2026-05-16,2026-05-31,2026-05-31,2026-06-07
2026-11,Pay Period 11 - Jun 1-15 2026,2026-06-01,2026-06-15,2026-06-15,2026-06-22
2026-12,Pay Period 12 - Jun 16-30 2026,2026-06-16,2026-06-30,2026-06-30,2026-07-07
2026-13,Pay Period 13 - Jul 1-15 2026,2026-07-01,2026-07-15,2026-07-15,2026-07-22
2026-14,Pay Period 14 - Jul 16-31 2026,2026-07-16,2026-07-31,2026-07-31,2026-08-07
2026-15,Pay Period 15 - Aug 1-15 2026,2026-08-01,2026-08-15,2026-08-15,2026-08-22
2026-16,Pay Period 16 - Aug 16-31 2026,2026-08-16,2026-08-31,2026-08-31,2026-09-07
2026-17,Pay Period 17 - Sep 1-15 2026,2026-09-01,2026-09-15,2026-09-15,2026-09-22
2026-18,Pay Period 18 - Sep 16-30 2026,2026-09-16,2026-09-30,2026-09-30,2026-10-07
2026-19,Pay Period 19 - Oct 1-15 2026,2026-10-01,2026-10-15,2026-10-15,2026-10-22
2026-20,Pay Period 20 - Oct 16-31 2026,2026-10-16,2026-10-31,2026-10-31,2026-11-07
2026-21,Pay Period 21 - Nov 1-15 2026,2026-11-01,2026-11-15,2026-11-15,2026-11-22
2026-22,Pay Period 22 - Nov 16-30 2026,2026-11-16,2026-11-30,2026-11-30,2026-12-07
2026-23,Pay Period 23 - Dec 1-15 2026,2026-12-01,2026-12-15,2026-12-15,2026-12-22
2026-24,Pay Period 24 - Dec 16-31 2026,2026-12-16,2026-12-31,2026-12-31,2027-01-07
