ID,Date,Name,Type,Description
nakupuna-new-years-2025,2025-01-01,New Year's Day,federal,Federal Holiday - New Year's Day
nakupuna-mlk-2025,2025-01-20,Martin Luther King Jr Day,federal,Federal Holiday - Martin Luther King Jr Day
nakupuna-presidents-2025,2025-02-17,Washington's Birthday/President's Day,federal,Federal Holiday - Washington's Birthday/President's Day
nakupuna-memorial-2025,2025-05-26,Memorial Day,federal,Federal Holiday - Memorial Day
nakupuna-juneteenth-2025,2025-06-19,Juneteenth,federal,Federal Holiday - Juneteenth National Independence Day
nakupuna-independence-2025,2025-07-04,Independence Day,federal,Federal Holiday - Independence Day
nakupuna-labor-2025,2025-09-01,Labor Day,federal,Federal Holiday - Labor Day
nakupuna-columbus-2025,2025-10-13,Columbus Day,federal,Federal Holiday - Columbus Day
nakupuna-veterans-2025,2025-11-11,Veteran's Day,federal,Federal Holiday - Veteran's Day
nakupuna-thanksgiving-2025,2025-11-27,Thanksgiving Day,federal,Federal Holiday - Thanksgiving Day
nakupuna-christmas-2025,2025-12-25,Christmas Day,federal,Federal Holiday - Christmas Day
